A00,Cólera
A000,Cólera devida a Vibrio cholerae 01
A001,Cólera devida a Vibrio cholerae 01
A009,Cólera não especificada
A01,Febres tifóide e paratifóide
A010,Febre tifóide
A011,Febre paratifóide A
A012,Febre paratifóide B
A013,Febre paratifóide C
A014,Febre paratifóide não especificada
A02,Outras infecções por Salmonella
A020,Enterite por salmonela
A021,Septicemia por salmonela
A022,Infecções localizadas por salmonela
A028,Outras infecções especificadas por salmonela
A029,Infecção não especificada por salmonela
A03,Shiguelose
A030,Shiguelose devida a Shigella dysenteriae
A031,Shiguelose devida a Shigella flexneri
A032,Shiguelose devida a Shigella boydii
A033,Shiguelose devida a Shigella sonnei
A038,Outras shigueloses
A039,Shiguelose não especificada
A04,Outras infecções intestinais bacterianas
A040,Infecção por Escherichia coli enteropatogênica
A041,Infecção por Escherichia coli enterotoxigênica
A042,Infecção por Escherichia coli enteroinvasiva
A043,Infecção por Escherichia coli enterohemorrágica
A044,Outras infecções intestinais por Escherichia coli
A045,Enterite por Campylobacter
A046,Enterite devida a Yersinia enterocolítica
A047,Enterocolite devida a Clostridium difficile
A048,Outras infecções bacterianas intestinais especificadas
A049,Infecção intestinal bacteriana não especificada
A05,Outras intoxicações alimentares bacterianas
A050,Intoxicação alimentar estafilocócica
A051,Botulismo
A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
A053,Intoxicação alimentar devida a Vibrio parahemolyticus
A054,Intoxicação alimentar devida a Bacillus cereus
A058,Outras intoxicações alimentares bacterianas especificadas
A059,Intoxicação alimentar bacteriana não especificada
A06,Amebíase
A060,Disenteria amebiana aguda
A061,Amebíase intestinal crônica
A062,Colite amebiana não-disentérica
A063,Ameboma intestinal
A064,Abscesso amebiano do fígado
A065,Abscesso amebiano do pulmão
A066,Abscesso amebiano do cérebro
A067,Amebíase cutânea
A068,Infecção amebiana de outras localizações
A069,Amebíase não especificada
A07,Outras doenças intestinais por protozoários
A070,Balantidíase
A071,Giardíase [lamblíase]
A072,Criptosporidiose
A073,Isosporíase
A078,Outras doenças intestinais especificadas por protozoários
A079,Doença intestinal não especificada por protozoários
A08,Infecções intestinais virais
A080,Enterite por rotavírus
A081,Gastroenteropatia aguda pelo agente de Norwalk
A082,Enterite por adenovírus
A083,Outras enterites virais
A084,Infecção intestinal devida a vírus não especificado
A085,Outras infecções intestinais especificadas
A09,Diarréia e gastroenterite de origem infecciosa presumível
A15,Tuberculose respiratória
A150,Tuberculose pulmonar
A151,Tuberculose pulmonar
A152,Tuberculose pulmonar
A153,Tuberculose pulmonar
A154,Tuberculose dos gânglios intratorácicos
A155,Tuberculose da laringe
A156,Pleuris tuberculoso
A157,Tuberculose primária das vias respiratórias
A158,Outras formas de tuberculose das vias respiratórias
A159,Tuberculose não especificada das vias respiratórias
A16,Tuberculose das vias respiratórias
A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos
A161,Tuberculose pulmonar
A162,Tuberculose pulmonar
A163,Tuberculose dos gânglios intratorácicos
A164,Tuberculose da laringe
A165,Pleurisia tuberculosa
A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
A168,Outras formas de tuberculose das vias respiratórias
A169,Tuberculose respiratória
A17,Tuberculose do sistema nervoso
A170,Meningite tuberculosa
A171,Tuberculoma meníngeo
A178,Outras tuberculoses do sistema nervoso
A179,Tuberculose não especificada do sistema nervoso
A18,Tuberculose de outros órgãos
A180,Tuberculose óssea e das articulações
A181,Tuberculose do aparelho geniturinário
A182,Linfadenopatia tuberculosa periférica
A183,Tuberculose do intestino
A184,Tuberculose de pele e do tecido celular subcutâneo
A185,Tuberculose do olho
A186,Tuberculose do ouvido
A187,Tuberculose das supra-renais
A188,Tuberculose de outros órgãos especificados
A19,Tuberculose miliar
A190,Tuberculose miliar aguda de localização única e especificada
A191,Tuberculose miliar aguda de múltiplas localizações
A192,Tuberculose miliar aguda não especificada
A198,Outras tuberculoses miliares
A199,Tuberculose miliar não especificada
A20,Peste
A200,Peste bubônica
A201,Peste celulocutânea
A202,Peste pneumônica
A203,Peste meníngea
A207,Peste septicêmica
A208,Outras formas de peste
A209,Peste
A21,Tularemia
A210,Tularemia ulceroglandular
A211,Tularemia oculoglandular
A212,Tularemia pulmonar
A213,Tularemia gastrointestinal
A217,Tularemia generalizada
A218,Outras formas de tularemia
A219,Tularemia
A22,Carbúnculo
A220,Carbúnculo cutâneo
A221,Carbúnculo pulmonar
A222,Carbúnculo gastrointestinal
A227,Septicemia carbunculosa
A228,Outras formas de carbúnculo
A229,Carbúnculo
A23,Brucelose
A230,Brucelose por Brucella melitensis
A231,Brucelose por Brucella abortus
A232,Brucelose por Brucella suis
A233,Brucelose por Brucella canis
A238,Outras bruceloses
A239,Brucelose não especificada
A24,Mormo e melioidose
A240,Mormo
A241,Melioidose aguda e fulminante
A242,Melioidose subaguda e crônica
A243,Outras melioidoses
A244,Melioidose não especificada
A25,Febres transmitidas por mordedura de rato
A250,Espirilose
A251,Estreptobacilose
A259,Febre transmitida por mordedura de rato
A26,Erisipelóide
A260,Erisipelóide cutâneo
A267,Septicemia por Erysipelothrix
A268,Outras formas de erisipelóide
A269,Erisipelóide não especificado
A27,Leptospirose
A270,Leptopirose icterohemorrágica
A278,Outras formas de leptospirose
A279,Leptospirose não especificada
A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte
A280,Pasteurelose
A281,Doença por arranhadura do gato
A282,Yersiniose extra-intestinal
A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
A289,Doença bacteriana zoonótica não especificada
A30,Hanseníase [doença de Hansen] [lepra]
A300,Hanseníase [lepra] indeterminada
A301,Hanseníase [lepra] tuberculóide
A302,Hanseníase [lepra] tuberculóide borderline
A303,Hanseníase [lepra] dimorfa
A304,Hanseníase [lepra] lepromatosa borderline
A305,Hanseníase [lepra] lepromatosa
A308,Outras formas de hanseníase [lepra]
A309,Hanseníase [lepra] não especificada
A31,Infecções devidas a outras micobactérias
A310,Infecção pulmonar micobacteriana
A311,Infecção cutânea micobacteriana
A318,Outras infecções micobacterianas
A319,Infecção micobacteriana não especificada
A32,Listeriose [listeríase]
A320,Listeriose cutânea
A321,Meningite e meningoencefalite por listéria
A327,Septicemia listeriótica
A328,Outras formas de listeriose
A329,Listeriose não especificada
A33,Tétano do recém-nascido [neonatal]
A34,Tétano obstétrico
A35,Outros tipos de tétano
A36,Difteria
A360,Difteria faríngea
A361,Difteria nasofaríngea
A362,Difteria laríngea
A363,Difteria cutânea
A368,Outras formas de difteria
A369,Difteria não especificada
A37,Coqueluche
A370,Coqueluche por Bordetella pertussis
A371,Coqueluche por Bordetella parapertussis
A378,Coqueluche por outras espécies da Bordetella
A379,Coqueluche não especificada
A38,Escarlatina
A39,Infecção meningogócica
A390,Meningite meningocócica
A391,Síndrome de Waterhouse-Friderichsen
A392,Meningococcemia aguda
A393,Meningococcemia crônica
A394,Meningococcemia não especificada
A395,Cardite por meningococos
A398,Outras infecções por meningococos
A399,Infecção meningocócica não especificada
A40,Septicemia estreptocócica
A400,Septicemia por Streptococcus do grupo A
A401,Septicemia por Streptococcus do grupo B
A402,Septicemia por Streptococcus do grupo D
A403,Septicemia por Streptococcus pneumonia
A408,Outras septicemias estreptocócicas
A409,Septicemia estreptocócica não especificada
A41,Outras septicemias
A410,Septicemia por Staphylococcus aureus
A411,Septicemia por outros estafilococos especificados
A412,Septicemia por estafilococos não especificados
A413,Septicemia por Haemophilus influenzae
A414,Septicemia por anaeróbios
A415,Septicemia por outros microorganismos gram-negativos
A418,Outras septicemias especificadas
A419,Septicemia não especificada
A42,Actinomicose
A420,Actinomicose pulmonar
A421,Actinomicose abdominal
A422,Actinomicose cervicofacial
A427,Septicemia actinomicótica
A428,Outras formas de actinomicose
A429,Actinomicose não especificada
A43,Nocardiose
A430,Nocardiose pulmonar
A431,Nocardiose cutânea
A438,Outras formas de nocardiose
A439,Nocardiose não especificada
A44,Bartonelose
A440,Bartonelose sistêmica
A441,Bartonelose cutânea e cutâneo-mucosa
A448,Outras formas de bartonelose
A449,Bartonelose não especificada
A46,Erisipela
A48,Outras doenças bacterianas não classificadas em outra parte
A480,Gangrena gasosa
A481,Doença dos legionários
A482,Doença dos legionários não-pneumônica [febre de Pontiac]
A483,Síndrome do choque tóxico
A484,Febre purpúrica do Brasil
A488,Outras doenças bacterianas especificadas
A49,Infecção bacteriana de localização não especificada
A490,Infecção estafilocócica de localização não especificada
A491,Infecção estreptocócica de localização não especificada
A492,Infecção por Haemophilus influenzae de localização não especificada
A493,Infecção por Mycoplasma de localização não especificada
A498,Outras infecções bacterianas de localização não especificada
A499,Infecção bacteriana não especificada
A50,Sífilis congênita
A500,Sífilis congênita precoce sintomática
A501,Sífilis congênita precoce
A502,Sífilis congênita precoce não especificada
A503,Oculopatia sifilítica congênita tardia
A504,Neurossífilis congênita tardia [neurossífilis juvenil]
A505,Outras formas tardias e sintomáticas da sífilis congênita
A506,Sífilis congênita tardia latente
A507,Sífilis congênita tardia não especificada
A509,Sífilis congênita não especificada
A51,Sífilis precoce
A510,Sífilis genital primária
A511,Sífilis anal primária
A512,Sífilis primária de outras localizações
A513,Sífilis secundária da pele e das mucosas
A514,Outras formas de sífilis secundária
A515,Sífilis precoce latente
A519,Sífilis precoce não especificada
A52,Sífilis tardia
A520,Sífilis cardiovascular
A521,Neurossífilis sintomática
A522,Neurossífilis assintomática
A523,Neurossífilis não especificada
A527,Outras formas de sífilis tardia sintomática
A528,Sífilis tardia latente
A529,Sífilis tardia não especificada
A53,Outras formas e as não especificadas da sífilis
A530,Sífilis latente
A539,Sífilis não especificada
A54,Infecção gonocócica
A540,Infecção gonocócica do trato geniturinário inferior
A541,Infecção gonocócica do trato geniturinário inferior
A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas
A543,Infecção gonocócica do olho
A544,Infecção gonocócica do sistema músculo-esquelético
A545,Faringite gonocócica
A546,Infecção gonocócica do ânus ou do reto
A548,Outras infecções gonocócicas
A549,Infecção gonocócica não especificada
A55,Linfogranuloma (venéreo) por clamídia
A56,Outras infecções causadas por clamídias transmitidas por via sexual
A560,Infecções por clamídias do trato geniturinário inferior
A561,Infecção por clamídias
A562,Infecção por clamídias do trato geniturinário
A563,Infecção do ânus e do reto por clamídias
A564,Infecção da faringe por clamídias
A568,Infecção por clamídias transmitida por via sexual
A57,Cancro mole
A58,Granuloma inguinal
A59,Tricomoníase
A590,Tricomoníase urogenital
A598,Outras localizações de tricomoníase
A599,Tricomoníase não especificada
A60,Infecções anogenitais pelo vírus do herpes [herpes simples]
A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
A609,Infecção anogenital não especificada pelo vírus do herpes
A63,Outras doenças de transmissão predominantemente sexual
A630,Verrugas anogenitais (venéreas)
A638,Outras doenças especificadas de transmissão predominantemente sexual
A64,Doenças sexualmente transmitidas
A65,Sífilis não-venérea
A66,Bouba
A660,Lesões iniciais da bouba
A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba)
A662,Outras lesões cutâneas precoces da bouba
A663,Hiperceratose devida a bouba
A664,Gomas e úlceras devidas à bouba
A665,Gangosa
A666,Lesões osteoarticulares devidas à bouba
A667,Outras manifestações da bouba
A668,Bouba latente
A669,Bouba não especificada
A67,Pinta [carate]
A670,Lesões primárias da pinta
A671,Lesões intermediárias da pinta
A672,Lesões tardias da pinta
A673,Lesões mistas da pinta
A679,Pinta não especificada
A68,Febres recorrentes [Borrelioses]
A680,Febre recorrente transmitida por piolhos
A681,Febre recorrente transmitida por carrapatos
A689,Febre recorrente não especificada
A69,Outras infecções por espiroquetas
A690,Estomatite ulcerativa necrotizante
A691,Outras infecções de Vincent
A692,Doença de Lyme
A698,Outras infecções especificadas por espiroquetas
A699,Infecção por espiroqueta
A70,Infecções causadas por Clamídia psittaci
A71,Tracoma
